image_path,mask_path,split,px_class0,px_class1,px_class2,px_class3,px_class4,px_class5,px_class6,px_class7
..\data\leftImg8bit\train\darmstadt\darmstadt_000027_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000027_000019_gtFine_labelIds.png,train,195203,637561,95725,71639,253708,120452,557181,165683
..\data\leftImg8bit\train\darmstadt\darmstadt_000028_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000028_000019_gtFine_labelIds.png,train,176203,603844,85631,43095,338718,121255,623389,105017
..\data\leftImg8bit\train\darmstadt\darmstadt_000029_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000029_000019_gtFine_labelIds.png,train,177549,732159,92092,55097,420211,121478,383745,114821
..\data\leftImg8bit\train\darmstadt\darmstadt_000030_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000030_000019_gtFine_labelIds.png,train,284681,820056,100209,83581,428302,118687,793,260843
..\data\leftImg8bit\train\darmstadt\darmstadt_000031_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000031_000019_gtFine_labelIds.png,train,323805,784985,293729,73291,268219,170294,5629,177200
..\data\leftImg8bit\train\darmstadt\darmstadt_000032_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000032_000019_gtFine_labelIds.png,train,118430,748395,172511,74265,426000,143306,1261,412984
..\data\leftImg8bit\train\darmstadt\darmstadt_000033_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000033_000019_gtFine_labelIds.png,train,145633,984764,452078,127891,253612,73607,12768,46799
..\data\leftImg8bit\train\darmstadt\darmstadt_000034_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000034_000019_gtFine_labelIds.png,train,288291,731632,377314,48854,306439,79893,21852,242877
..\data\leftImg8bit\train\darmstadt\darmstadt_000035_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000035_000019_gtFine_labelIds.png,train,139175,925361,776018,26529,33059,92779,55091,49140
..\data\leftImg8bit\train\darmstadt\darmstadt_000036_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000036_000019_gtFine_labelIds.png,train,263887,765910,567808,36509,136930,101523,2497,222088
..\data\leftImg8bit\train\darmstadt\darmstadt_000037_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000037_000019_gtFine_labelIds.png,train,168665,798708,529379,24281,123332,65057,24355,363375
..\data\leftImg8bit\train\darmstadt\darmstadt_000038_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000038_000019_gtFine_labelIds.png,train,144619,757550,675615,9896,5519,125979,0,377974
..\data\leftImg8bit\train\darmstadt\darmstadt_000039_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000039_000019_gtFine_labelIds.png,train,156609,865445,972204,15139,67037,1672,0,19046
..\data\leftImg8bit\train\darmstadt\darmstadt_000040_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000040_000019_gtFine_labelIds.png,train,160455,924147,176527,43803,530218,186681,0,75321
..\data\leftImg8bit\train\darmstadt\darmstadt_000041_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000041_000019_gtFine_labelIds.png,train,191024,906527,524047,72125,216783,143982,8091,34573
..\data\leftImg8bit\train\darmstadt\darmstadt_000042_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000042_000019_gtFine_labelIds.png,train,194773,845066,336492,63657,478653,149802,2719,25990
..\data\leftImg8bit\train\darmstadt\darmstadt_000043_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000043_000019_gtFine_labelIds.png,train,155811,964781,436183,99380,118569,148863,2820,170745
..\data\leftImg8bit\train\darmstadt\darmstadt_000044_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000044_000019_gtFine_labelIds.png,train,155188,990801,468807,45486,242164,104932,515,89259
..\data\leftImg8bit\train\darmstadt\darmstadt_000045_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000045_000019_gtFine_labelIds.png,train,154286,969438,467183,46633,245484,104594,39264,70270
..\data\leftImg8bit\train\darmstadt\darmstadt_000046_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000046_000019_gtFine_labelIds.png,train,419241,669282,616646,10164,4027,126158,1824,249810
..\data\leftImg8bit\train\darmstadt\darmstadt_000047_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000047_000019_gtFine_labelIds.png,train,487237,567157,551765,7857,8643,129049,819,344625
..\data\leftImg8bit\train\darmstadt\darmstadt_000048_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000048_000019_gtFine_labelIds.png,train,423946,619582,779569,24706,20683,177585,3762,47319
..\data\leftImg8bit\train\darmstadt\darmstadt_000049_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000049_000019_gtFine_labelIds.png,train,434674,630105,824580,13168,45838,132061,1150,15576
..\data\leftImg8bit\train\darmstadt\darmstadt_000050_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000050_000019_gtFine_labelIds.png,train,146450,889017,439697,65687,60894,220191,4775,270441
..\data\leftImg8bit\train\darmstadt\darmstadt_000051_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000051_000019_gtFine_labelIds.png,train,164975,830423,682906,25953,158492,86041,15826,132536
..\data\leftImg8bit\train\darmstadt\darmstadt_000052_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000052_000019_gtFine_labelIds.png,train,129327,946240,212388,41253,579634,87696,2769,97845
..\data\leftImg8bit\train\darmstadt\darmstadt_000053_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000053_000019_gtFine_labelIds.png,train,136614,935919,241635,62231,561074,27178,5108,127393
..\data\leftImg8bit\train\darmstadt\darmstadt_000054_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000054_000019_gtFine_labelIds.png,train,194752,793454,210784,30266,696800,42147,109144,19805
..\data\leftImg8bit\train\darmstadt\darmstadt_000055_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000055_000019_gtFine_labelIds.png,train,155932,823007,397332,11066,525654,49728,108275,26158
..\data\leftImg8bit\train\darmstadt\darmstadt_000056_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000056_000019_gtFine_labelIds.png,train,125662,754127,382732,24703,289047,45444,103199,372238
..\data\leftImg8bit\train\darmstadt\darmstadt_000057_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000057_000019_gtFine_labelIds.png,train,118764,691308,683639,8310,157756,61355,0,376020
..\data\leftImg8bit\train\darmstadt\darmstadt_000058_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000058_000019_gtFine_labelIds.png,train,118789,609924,230477,82194,282401,155670,67270,550427
..\data\leftImg8bit\train\darmstadt\darmstadt_000059_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000059_000019_gtFine_labelIds.png,train,135188,641763,873985,2122,0,39913,5157,399024
..\data\leftImg8bit\train\darmstadt\darmstadt_000060_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000060_000019_gtFine_labelIds.png,train,136890,760359,962611,27748,81867,91986,1925,33766
..\data\leftImg8bit\train\darmstadt\darmstadt_000061_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000061_000019_gtFine_labelIds.png,train,134236,780726,448353,30855,258642,13229,12598,418513
..\data\leftImg8bit\train\darmstadt\darmstadt_000062_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000062_000019_gtFine_labelIds.png,train,131626,1037274,486566,52612,120418,2566,37231,228859
..\data\leftImg8bit\train\darmstadt\darmstadt_000063_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000063_000019_gtFine_labelIds.png,train,526000,609595,239867,50271,317276,4992,71839,277312
..\data\leftImg8bit\train\darmstadt\darmstadt_000064_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000064_000019_gtFine_labelIds.png,train,200603,893532,802904,42386,3333,36016,53061,65317
..\data\leftImg8bit\train\darmstadt\darmstadt_000065_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000065_000019_gtFine_labelIds.png,train,138320,787198,823080,9571,12461,14064,6960,305498
..\data\leftImg8bit\train\darmstadt\darmstadt_000066_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000066_000019_gtFine_labelIds.png,train,118362,810384,531511,32079,32929,0,66433,505454
..\data\leftImg8bit\train\darmstadt\darmstadt_000067_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000067_000019_gtFine_labelIds.png,train,1144956,23992,491910,14273,262172,40816,66062,52971
..\data\leftImg8bit\train\darmstadt\darmstadt_000068_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000068_000019_gtFine_labelIds.png,train,1041221,484,717990,15181,105680,36281,24022,156293
..\data\leftImg8bit\train\darmstadt\darmstadt_000069_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000069_000019_gtFine_labelIds.png,train,354591,720163,442241,14146,163322,59738,83847,259104
..\data\leftImg8bit\train\darmstadt\darmstadt_000070_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000070_000019_gtFine_labelIds.png,train,910324,785,684185,5344,171228,82143,109480,133663
..\data\leftImg8bit\train\darmstadt\darmstadt_000071_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000071_000019_gtFine_labelIds.png,train,958912,0,529767,5959,358803,101778,91934,49999
..\data\leftImg8bit\train\darmstadt\darmstadt_000072_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000072_000019_gtFine_labelIds.png,train,1231812,0,585043,24229,161287,87345,4756,2680
..\data\leftImg8bit\train\darmstadt\darmstadt_000073_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000073_000019_gtFine_labelIds.png,train,722794,543,286372,16666,851173,38490,1243,179871
..\data\leftImg8bit\train\darmstadt\darmstadt_000074_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000074_000019_gtFine_labelIds.png,train,138597,958868,146538,36360,497697,140169,2539,176384
..\data\leftImg8bit\train\darmstadt\darmstadt_000075_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000075_000019_gtFine_labelIds.png,train,156254,1009215,272623,32103,312904,266930,5462,41661
..\data\leftImg8bit\train\darmstadt\darmstadt_000076_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000076_000019_gtFine_labelIds.png,train,133225,897195,268838,29858,586637,151486,16465,13448
..\data\leftImg8bit\train\darmstadt\darmstadt_000077_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000077_000019_gtFine_labelIds.png,train,119753,775698,281923,12997,442639,112243,0,351899
..\data\leftImg8bit\train\darmstadt\darmstadt_000078_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000078_000019_gtFine_labelIds.png,train,116985,839743,354447,1576,332959,163706,247,287489
..\data\leftImg8bit\train\darmstadt\darmstadt_000079_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000079_000019_gtFine_labelIds.png,train,116006,879720,630342,18506,72917,93568,4855,281238
..\data\leftImg8bit\train\darmstadt\darmstadt_000080_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000080_000019_gtFine_labelIds.png,train,193696,895278,377492,52231,466538,56560,18552,36805
..\data\leftImg8bit\train\darmstadt\darmstadt_000081_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000081_000019_gtFine_labelIds.png,train,178619,937112,301497,61243,326939,224482,27210,40050
..\data\leftImg8bit\train\darmstadt\darmstadt_000082_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000082_000019_gtFine_labelIds.png,train,174576,955262,57978,127812,553745,125412,24115,78252
..\data\leftImg8bit\train\darmstadt\darmstadt_000083_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000083_000019_gtFine_labelIds.png,train,891262,7146,820083,34530,290479,17449,1763,34440
..\data\leftImg8bit\train\darmstadt\darmstadt_000084_000019_leftImg8bit.png,..\data\gtFine\train\darmstadt\darmstadt_000084_000019_gtFine_labelIds.png,train,344706,706050,529972,39784,335166,111114,3984,26376
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000000_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000000_000019_gtFine_labelIds.png,train,178046,656383,466958,69570,628596,67656,3252,26691
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000001_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000001_000019_gtFine_labelIds.png,train,165203,840142,287393,2486,467085,65911,0,268932
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000002_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000002_000019_gtFine_labelIds.png,train,122485,816277,285568,58359,526654,50875,3097,233837
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000003_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000003_000019_gtFine_labelIds.png,train,367438,849859,213687,47523,449426,112768,0,56451
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000004_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000004_000019_gtFine_labelIds.png,train,178971,689291,618799,51768,170664,22437,0,365222
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000005_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000005_000019_gtFine_labelIds.png,train,126080,792598,512477,41084,259615,54808,1044,309446
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000006_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000006_000019_gtFine_labelIds.png,train,330550,363619,343333,32750,291813,37699,0,697388
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000007_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000007_000019_gtFine_labelIds.png,train,115887,611085,434391,9537,447058,0,0,479194
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000008_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000008_000019_gtFine_labelIds.png,train,142783,687722,376223,40947,428557,0,2543,418377
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000009_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000009_000019_gtFine_labelIds.png,train,186932,711676,220840,14542,671172,34871,450,256669
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000010_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000010_000019_gtFine_labelIds.png,train,144480,866506,557373,50904,210409,93118,81250,93112
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000011_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000011_000019_gtFine_labelIds.png,train,229144,557131,361901,101048,96059,97740,0,654129
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000012_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000012_000019_gtFine_labelIds.png,train,198762,925754,226128,94956,462366,83786,11060,94340
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000013_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000013_000019_gtFine_labelIds.png,train,155264,862425,634509,37124,236913,82037,9626,79254
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000014_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000014_000019_gtFine_labelIds.png,train,135119,925742,566504,16796,268161,23376,21393,140061
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000015_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000015_000019_gtFine_labelIds.png,train,197669,736651,453567,17573,430902,22421,13695,224674
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000016_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000016_000019_gtFine_labelIds.png,train,158885,733698,762397,57448,215930,0,0,168794
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000017_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000017_000019_gtFine_labelIds.png,train,321738,701221,445821,12631,337358,36894,0,241489
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000018_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000018_000019_gtFine_labelIds.png,train,137832,897597,474919,49308,355402,21282,4524,156288
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000019_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000019_000019_gtFine_labelIds.png,train,258731,811693,366329,16266,352926,23397,957,266853
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000020_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000020_000019_gtFine_labelIds.png,train,146152,816979,562728,85168,224293,119471,0,142361
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000021_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000021_000019_gtFine_labelIds.png,train,134303,681075,258531,32230,830078,157348,241,3346
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000022_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000022_000019_gtFine_labelIds.png,train,257985,956155,132339,68180,520796,152715,1165,7817
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000023_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000023_000019_gtFine_labelIds.png,train,175996,942382,63242,43324,863647,2842,789,4930
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000024_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000024_000019_gtFine_labelIds.png,train,151804,710938,256036,54699,392292,212614,248,318521
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000025_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000025_000019_gtFine_labelIds.png,train,174764,889518,380571,102442,278376,128673,1328,141480
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000026_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000026_000019_gtFine_labelIds.png,train,240207,665572,887317,65363,101126,113704,8291,15572
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000027_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000027_000019_gtFine_labelIds.png,train,226654,947493,611461,36131,181840,65519,5046,23008
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000028_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000028_000019_gtFine_labelIds.png,train,266236,857476,454764,29636,237006,108962,0,143072
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000029_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000029_000019_gtFine_labelIds.png,train,159187,746313,359497,30073,494252,112378,1257,194195
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000030_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000030_000019_gtFine_labelIds.png,train,176386,865678,419904,85320,367223,113642,781,68218
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000031_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000031_000019_gtFine_labelIds.png,train,366046,827410,201852,49041,516774,26785,321,108923
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000032_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000032_000019_gtFine_labelIds.png,train,140372,909185,865081,11261,14444,65192,22769,68848
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000033_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000033_000019_gtFine_labelIds.png,train,217072,721604,710379,25605,77312,12666,0,332514
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000034_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000034_000019_gtFine_labelIds.png,train,258603,777630,526268,25194,120356,102422,2226,284453
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000035_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000035_000019_gtFine_labelIds.png,train,219502,810097,481944,69101,295694,95983,6626,118205
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000036_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000036_000019_gtFine_labelIds.png,train,142391,842032,614780,104357,304255,49418,25854,14065
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000037_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000037_000019_gtFine_labelIds.png,train,144596,796198,587594,93355,297902,51851,100252,25404
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000038_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000038_000019_gtFine_labelIds.png,train,148427,654872,136938,99933,959461,55012,8412,34097
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000039_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000039_000019_gtFine_labelIds.png,train,300046,787394,45158,129858,759159,54764,0,20773
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000040_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000040_000019_gtFine_labelIds.png,train,197660,978272,198722,105262,476668,23305,18890,98373
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000041_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000041_000019_gtFine_labelIds.png,train,289587,839466,714747,29824,137848,42280,27444,15956
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000042_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000042_000019_gtFine_labelIds.png,train,126026,837942,59977,11509,735914,62458,0,263326
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000043_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000043_000019_gtFine_labelIds.png,train,197943,667160,54809,11604,819407,8102,0,338127
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000044_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000044_000019_gtFine_labelIds.png,train,116717,843475,81905,49457,822934,57352,3364,121948
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000045_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000045_000019_gtFine_labelIds.png,train,137421,646439,377020,69414,381520,53206,31950,400182
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000046_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000046_000019_gtFine_labelIds.png,train,157982,950204,187207,62746,661955,23250,0,53808
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000047_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000047_000019_gtFine_labelIds.png,train,138519,971719,173716,77562,565521,89286,0,80829
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000048_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000048_000019_gtFine_labelIds.png,train,115011,768276,245648,27852,906166,13320,0,20879
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000049_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000049_000019_gtFine_labelIds.png,train,198535,728093,223317,53938,432037,167594,0,293638
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000050_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000050_000019_gtFine_labelIds.png,train,176587,795793,28077,9060,1037349,43687,0,6599
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000051_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000051_000019_gtFine_labelIds.png,train,172733,955110,233164,5925,688580,33248,6067,2325
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000052_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000052_000019_gtFine_labelIds.png,train,272823,832089,485308,14323,294400,35208,2185,160816
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000053_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000053_000019_gtFine_labelIds.png,train,129798,752629,115067,19024,1001812,73139,0,5683
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000054_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000054_000019_gtFine_labelIds.png,train,230397,669017,87922,33641,722706,41101,0,312368
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000055_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000055_000019_gtFine_labelIds.png,train,261336,677384,190275,39005,574720,20319,1919,332194
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000056_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000056_000019_gtFine_labelIds.png,train,136057,792444,286410,30857,609080,3909,966,237429
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000057_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000057_000019_gtFine_labelIds.png,train,228440,983146,348352,60316,418894,3515,32896,21593
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000058_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000058_000019_gtFine_labelIds.png,train,246595,726409,185988,5547,554230,5427,0,372956
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000059_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000059_000019_gtFine_labelIds.png,train,177451,759025,193907,39826,550194,18242,72,358435
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000060_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000060_000019_gtFine_labelIds.png,train,127656,978213,321833,62771,570105,8235,11866,16473
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000061_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000061_000019_gtFine_labelIds.png,train,223027,651214,192118,17978,703902,10906,2423,295584
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000062_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000062_000019_gtFine_labelIds.png,train,153141,941493,682452,40048,167737,73996,6958,31327
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000063_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000063_000019_gtFine_labelIds.png,train,139135,763253,89148,2731,668836,31010,293,402746
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000064_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000064_000019_gtFine_labelIds.png,train,255439,935743,141521,55477,580880,35777,12988,79327
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000065_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000065_000019_gtFine_labelIds.png,train,289751,841164,157487,86278,531473,59749,20506,110744
..\data\leftImg8bit\train\dusseldorf\dusseldorf_000066_000019_leftImg8bit.png,..\data\gtFine\train\dusseldorf\dusseldorf_000066_000019_gtFine_labelIds.png,train,193211,754085,412934,25656,528831,24726,8470,149239
